DOI,Year,Authors,Title,PdfName
10.1109/TVCG.2021.3114794,2021,"Xingbo Wang (The Hong Kong University of Science and Technology), Jianben He (The Hong Kong University of Science and Technology), Zhihua Jin (The Hong Kong University of Science and Technology), Muqiao Yang (The Hong Kong University of Science and Technology), Yong Wang (Singapore Management University), Huamin Qu (The Hong Kong University of Science and Technology)",M^2Lens: Visualizing and Explaining Multimodal Models for Sentiment Analysis,111100a813.pdf
10.1109/TVCG.2021.3114858,2021,"Haekyu Park (Georgia Institute of Technology), Nilaksh Das (Georgia Institute of Technology), Rahul Duggal (Georgia Institute of Technology), Austin P. Wright (Georgia Institute of Technology), Omar Shaikh (Georgia Institute of Technology), Fred Hohman (Georgia Institute of Technology), Duen Horng Chau (Georgia Institute of Technology)",NeuroCartography: Scalable Automatic Visual Summarization of Concepts in Deep Neural Networks,111100a824.pdf
10.1109/TVCG.2021.3114832,2021,"Jiang Wu (The State Key Lab of CAD&CG, Zhejiang University), Dongyu Liu (Massachusetts Institute of Technology), Ziyang Guo (The State Key Lab of CAD&CG, Zhejiang University), Qingyang Xu (The State Key Lab of CAD&CG, Zhejiang University), Yingcai Wu (The State Key Lab of CAD&CG, Zhejiang University)",TacticFlow: Visual Analytics of Ever-Changing Tactics in Racket Sports,111100a846.pdf
10.1109/TVCG.2021.3114781,2021,"Tan Tang (Zhejiang University, China), Yanhong Wu (Zhejiang University, China), Lingyun Yu (Xi'an Jiaotong-Liverpool University, China), Yuhong Li (Alibaba Group, China), Yingcai Wu (Zhejiang University, China)",VideoModerator: A Risk-Aware Framework for Multimodal Video Moderation in E-Commerce,111100a857.pdf
10.1109/TVCG.2021.3114878,2021,"Junxiu Tang (Zhejiang University, China), Yuhua Zhou (Zhejiang University, China), Tan Tang (Zhejiang University, China), Di Weng (Zhejiang University, China), Boyang Xie (Zhejiang University, China), Lingyun Yu (Xi'an Jiaotong-Liverpool University, China), Huaqiang Zhang (Alibaba Group, China), Yingcai Wu (Zhejiang University, China)",A Visualization Approach for Monitoring Order Processing in E-Commerce Warehouse,111100a868.pdf
10.1109/TVCG.2021.3114821,2021,"Natkamon Tovanich (IRT SystemX and Université Paris-Saclay, CNRS, Inria, LISN, France), Nicolas Soulié (Université Paris-Saclay, Univ Evry, IMT-BS, LITEM, France), Nicolas Heulot (IRT SystemX, France), Petra Isenberg (Université Paris-Saclay, CNRS, Inria, LISN, France)",MiningVis: Visual Analytics of the Bitcoin Mining Economy,111100a879.pdf
10.1109/TVCG.2021.3114800,2021,"Johannes Knittel (University of Stuttgart, Germany), Steffen Koch (University of Stuttgart, Germany), Tan Tang (State Key Lab of CAD&CG, Zhejiang University, China), Wei Chen (State Key Lab of CAD&CG, Zhejiang University, China), Yingcai Wu (State Key Lab of CAD&CG, Zhejiang University, China), Shixia Liu (Tsinghua University), Thomas Ertl (University of Stuttgart, Germany)",Real-Time Visual Analysis of High-Volume Social Media Posts,111100a890.pdf
10.1109/TVCG.2021.3114868,2021,"Jessica Magallanes (University of Sheffield, United Kingdom), Tony Stone (University of Sheffield, United Kingdom), Paul D Morris (University of Sheffield, United Kingdom), Suzanne Mason (University of Sheffield, United Kingdom), Steven Wood (Sheffield Teaching Hospitals Foundation Trust, United Kingdom), Maria-Cruz Villa-Uriol (University of Sheffield, United Kingdom)",Sequen-C: A Multilevel Overview of Temporal Event Sequences,111100a912.pdf
10.1109/TVCG.2021.3114867,2021,"Tinghao Feng (UNC Charlotte), Jing Yang (UNC Charlotte), Martha-Cary Eppes (UNC Charlotte), Zhaocong Yang (UNC Charlotte), Faye Moser (UNC Charlotte)",EVis: Visually Analyzing Environmentally Driven Events,111100a923.pdf
10.1109/TVCG.2021.3114683,2021,"Théo Jaunet (LIRIS, INSA-Lyon), Corentin Kervadec (Liris, INSA-Lyon, Orange), Romain Vuillemot (LIRIS, Ecole Centrale de Lyon), Grigory Antipov (Orange Innovation), Moez Baccouche (Orange Innovation), Christian Wolf (Liris, INSA-Lyon)",VisQA: X-Raying Vision and Language Reasoning in Transformers,111100a987.pdf
10.1109/TVCG.2021.3114827,2021,"Arpit Narechania (Georgia Institute of Technology, USA), Adam Coscia (Georgia Institute of Technology, USA), Emily Wall (Emory University, USA), Alex Endert (Georgia Institute of Technology, USA)",Lumos: Increasing Awareness of Analytic Behavior During Visual Data Analysis,111100b020.pdf
10.1109/TVCG.2021.3114853,2021,"Suphanut Jamonnak (Kent State University), Ye Zhao (Kent State University), Xinyi Huang (Kent State University), Md Amiruzzaman (West Chester University)",Geo-Context Aware Study of Vision-Based Autonomous Driving Models and Spatial Video Data,111100b030.pdf
10.1109/TVCG.2021.3114777,2021,"Yijie Hou (Fudan University), Chengshun Wang (Fudan University), Junhong Wang (Fudan University), Xiaolong Zhang (Pennsylvania State University), Xiangyang Xue (Fudan University), Jun Zhu (China FAW (Nanjing) Technology Development Co., Ltd), Dongliang Wang (China FAW (Nanjing) Technology Development Co., Ltd), Siming Chen (Fudan University)",Visual Evaluation for Autonomous Driving,111100b041.pdf
10.1109/TVCG.2021.3114855,2021,"Wenbin He (Robert Bosch Research and Technology Center), Lincan Zou (Robert Bosch Research and Technology Center), Arvind Kumar Shekar (Robert Bosch GmbH), Liang Gou (Robert Bosch Research and Technology Center), Liu Ren (Robert Bosch Research and Technology Center)",Where Can We Help? A Visual Analytics Approach to Diagnosing and Improving Semantic Segmentation of Movable Objects,111100b051.pdf
10.1109/TVCG.2021.3114875,2021,"Zikun Deng (State Key Lab of CAD & CG, Zhejiang University and Zhejiang Lab, China), Weng Di (State Key Lab of CAD & CG, Zhejiang University and Zhejiang Lab, China), Xiao Xie (Department of Sport Science, Zhejiang University, China), Jie Bao (JD Intelligent Cities Research, JD Tech, China), Yu Zheng (JD Intelligent Cities Research, JD Tech, China), Mingliang Xu (Zhengzhou University, China and Henan Institute of Advanced Technology, Zhengzhou University, China), Wei Chen (State Key Lab of CAD & CG, Zhejiang University and Zhejiang Lab, China), Yingcai Wu (State Key Lab of CAD & CG, Zhejiang University and Zhejiang Lab, China)",Compass: Towards Better Causal Analysis of Urban Time Series,111100b062.pdf
